Title,Source,Date
Armenia khoe bắn hạ bốn UAV Azerbaijan sát thủ đô,https://vnexpress.net/armenia-khoe-ban-ha-bon-uav-azerbaijan-sat-thu-do-4170376.html,"Thứ sáu, 2/10/2020, 08:37 (GMT+7)"
Trump phản đối thay đổi quy tắc tranh luận,https://vnexpress.net/trump-phan-doi-thay-doi-quy-tac-tranh-luan-4170336.html,"Thứ sáu, 2/10/2020, 07:26 (GMT+7)"
Lebanon đề nghị Interpol bắt hai người Nga liên quan vụ nổ cảng,https://vnexpress.net/lebanon-de-nghi-interpol-bat-hai-nguoi-nga-lien-quan-vu-no-cang-4170342.html,"Thứ sáu, 2/10/2020, 07:23 (GMT+7)"
"Hơn 34,4 triệu người nhiễm nCoV toàn cầu",https://vnexpress.net/hon-34-4-trieu-nguoi-nhiem-ncov-toan-cau-4170335.html,"Thứ sáu, 2/10/2020, 06:40 (GMT+7)"
Người cầm trịch đổ lỗi cho Trump gây hỗn loạn cuộc tranh luận,https://vnexpress.net/nguoi-cam-trich-do-loi-cho-trump-gay-hon-loan-cuoc-tranh-luan-4170331.html,"Thứ sáu, 2/10/2020, 06:27 (GMT+7)"
'Vũ khí báo thù' từng khiến phát xít Đức vỡ mộng,https://vnexpress.net/vu-khi-bao-thu-tung-khien-phat-xit-duc-vo-mong-4168951.html,"Thứ sáu, 2/10/2020, 01:00 (GMT+7)"
Quá trình voi và lừa trở thành biểu tượng hai đảng ở Mỹ,https://vnexpress.net/qua-trinh-voi-va-lua-tro-thanh-bieu-tuong-hai-dang-o-my-4168392.html,"Thứ sáu, 2/10/2020, 00:00 (GMT+7)"
Đảng Cộng hòa phản đối điều chỉnh quy tắc tranh luận,https://vnexpress.net/dang-cong-hoa-phan-doi-dieu-chinh-quy-tac-tranh-luan-4170302.html,"Thứ năm, 1/10/2020, 22:52 (GMT+7)"
Nhóm cực hữu Trump yêu cầu 'án binh chờ đợi' là ai?,https://vnexpress.net/nhom-cuc-huu-trump-yeu-cau-an-binh-cho-doi-la-ai-4169756.html,"Thứ năm, 1/10/2020, 21:00 (GMT+7)"
Trump ký luật ngăn chính phủ Mỹ đóng cửa,https://vnexpress.net/trump-ky-luat-ngan-chinh-phu-my-dong-cua-4170272.html,"Thứ năm, 1/10/2020, 20:49 (GMT+7)"
"Trump, Putin, Macron kêu gọi Armenia - Azerbaijan ngừng bắn lập tức",https://vnexpress.net/trump-putin-macron-keu-goi-armenia-azerbaijan-ngung-ban-lap-tuc-4170264.html,"Thứ năm, 1/10/2020, 20:16 (GMT+7)"
Trump 'phá chiến thuật' khiến trợ lý bất an,https://vnexpress.net/trump-pha-chien-thuat-khien-tro-ly-bat-an-4169785.html,"Thứ năm, 1/10/2020, 20:00 (GMT+7)"
Nga tố Navalny làm việc với CIA,https://vnexpress.net/nga-to-navalny-lam-viec-voi-cia-4170251.html,"Thứ năm, 1/10/2020, 18:54 (GMT+7)"
Việt Nam hoan nghênh tân Thủ tướng Nhật đến thăm,https://vnexpress.net/viet-nam-hoan-nghenh-tan-thu-tuong-nhat-den-tham-4170233.html,"Thứ năm, 1/10/2020, 18:24 (GMT+7)"
Anh cam kết hỗ trợ ASEAN 64 triệu USD chống Covid-19,https://vnexpress.net/anh-cam-ket-ho-tro-asean-64-trieu-usd-chong-covid-19-4170241.html,"Thứ năm, 1/10/2020, 18:19 (GMT+7)"
Việt Nam muốn ASEAN - Trung Quốc sớm nối lại đàm phán COC,https://vnexpress.net/viet-nam-muon-asean-trung-quoc-som-noi-lai-dam-phan-coc-4170190.html,"Thứ năm, 1/10/2020, 17:50 (GMT+7)"
Đảng Cộng hòa thất vọng về cách tranh luận của Trump,https://vnexpress.net/dang-cong-hoa-that-vong-ve-cach-tranh-luan-cua-trump-4170113.html,"Thứ năm, 1/10/2020, 17:23 (GMT+7)"
Hoàng thân Philip 'phát cáu' với Meghan,https://vnexpress.net/hoang-than-philip-phat-cau-voi-meghan-4170081.html,"Thứ năm, 1/10/2020, 17:13 (GMT+7)"
