Title,Source,Date
Phát hiện xác tàu có thể chứa kho báu Phòng Hổ phách,"Thứ sáu, 2/10/2020, 08:08 (GMT+7)",https://vnexpress.net/phat-hien-xac-tau-co-the-chua-kho-bau-phong-ho-phach-4170345.html
"Hơn 34,4 triệu người nhiễm nCoV toàn cầu","Thứ sáu, 2/10/2020, 06:40 (GMT+7)",https://vnexpress.net/hon-34-4-trieu-nguoi-nhiem-ncov-toan-cau-4170335.html
Người cầm trịch đổ lỗi cho Trump gây hỗn loạn cuộc tranh luận,"Thứ sáu, 2/10/2020, 06:27 (GMT+7)",https://vnexpress.net/nguoi-cam-trich-do-loi-cho-trump-gay-hon-loan-cuoc-tranh-luan-4170331.html
'Vũ khí báo thù' từng khiến phát xít Đức vỡ mộng,"Thứ sáu, 2/10/2020, 01:00 (GMT+7)",https://vnexpress.net/vu-khi-bao-thu-tung-khien-phat-xit-duc-vo-mong-4168951.html
Quá trình voi và lừa trở thành biểu tượng hai đảng ở Mỹ,"Thứ sáu, 2/10/2020, 00:00 (GMT+7)",https://vnexpress.net/qua-trinh-voi-va-lua-tro-thanh-bieu-tuong-hai-dang-o-my-4168392.html
Đảng Cộng hòa phản đối điều chỉnh quy tắc tranh luận,"Thứ năm, 1/10/2020, 22:52 (GMT+7)",https://vnexpress.net/dang-cong-hoa-phan-doi-dieu-chinh-quy-tac-tranh-luan-4170302.html
Nhóm cực hữu Trump yêu cầu 'án binh chờ đợi' là ai?,"Thứ năm, 1/10/2020, 21:00 (GMT+7)",https://vnexpress.net/nhom-cuc-huu-trump-yeu-cau-an-binh-cho-doi-la-ai-4169756.html
Trump ký luật ngăn chính phủ Mỹ đóng cửa,"Thứ năm, 1/10/2020, 20:49 (GMT+7)",https://vnexpress.net/trump-ky-luat-ngan-chinh-phu-my-dong-cua-4170272.html
"Trump, Putin, Macron kêu gọi Armenia - Azerbaijan ngừng bắn lập tức","Thứ năm, 1/10/2020, 20:16 (GMT+7)",https://vnexpress.net/trump-putin-macron-keu-goi-armenia-azerbaijan-ngung-ban-lap-tuc-4170264.html
Trump 'phá chiến thuật' khiến trợ lý bất an,"Thứ năm, 1/10/2020, 20:00 (GMT+7)",https://vnexpress.net/trump-pha-chien-thuat-khien-tro-ly-bat-an-4169785.html
Nga tố Navalny làm việc với CIA,"Thứ năm, 1/10/2020, 18:54 (GMT+7)",https://vnexpress.net/nga-to-navalny-lam-viec-voi-cia-4170251.html
Việt Nam hoan nghênh tân Thủ tướng Nhật đến thăm,"Thứ năm, 1/10/2020, 18:24 (GMT+7)",https://vnexpress.net/viet-nam-hoan-nghenh-tan-thu-tuong-nhat-den-tham-4170233.html
Anh cam kết hỗ trợ ASEAN 64 triệu USD chống Covid-19,"Thứ năm, 1/10/2020, 18:19 (GMT+7)",https://vnexpress.net/anh-cam-ket-ho-tro-asean-64-trieu-usd-chong-covid-19-4170241.html
Việt Nam muốn ASEAN - Trung Quốc sớm nối lại đàm phán COC,"Thứ năm, 1/10/2020, 17:50 (GMT+7)",https://vnexpress.net/viet-nam-muon-asean-trung-quoc-som-noi-lai-dam-phan-coc-4170190.html
Đảng Cộng hòa thất vọng về cách tranh luận của Trump,"Thứ năm, 1/10/2020, 17:23 (GMT+7)",https://vnexpress.net/dang-cong-hoa-that-vong-ve-cach-tranh-luan-cua-trump-4170113.html
Hoàng thân Philip 'phát cáu' với Meghan,"Thứ năm, 1/10/2020, 17:13 (GMT+7)",https://vnexpress.net/hoang-than-philip-phat-cau-voi-meghan-4170081.html
Phái viên Mỹ đề cao Việt Nam trong kiểm soát vũ khí,"Thứ năm, 1/10/2020, 16:55 (GMT+7)",https://vnexpress.net/phai-vien-my-de-cao-viet-nam-trong-kiem-soat-vu-khi-4170102.html
"Việt Nam bình luận về công hàm Biển Đông của Anh, Pháp, Đức","Thứ năm, 1/10/2020, 16:46 (GMT+7)",https://vnexpress.net/viet-nam-binh-luan-ve-cong-ham-bien-dong-cua-anh-phap-duc-4170141.html
Mỹ nói chỉ nhắm mục tiêu vào 1% sinh viên Trung Quốc,"Thứ năm, 1/10/2020, 16:36 (GMT+7)",https://vnexpress.net/my-noi-chi-nham-muc-tieu-vao-1-sinh-vien-trung-quoc-4169852.html
Nông trại chọc trời ở Singapore,"Thứ năm, 1/10/2020, 15:26 (GMT+7)",https://vnexpress.net/nong-trai-choc-troi-o-singapore-4170066.html
Chiến dịch Trump dọa kiện Philadelphia,"Thứ năm, 1/10/2020, 15:12 (GMT+7)",https://vnexpress.net/chien-dich-trump-doa-kien-philadelphia-4170037.html
Trúng độc đắc hơn 200 triệu USD,"Thứ năm, 1/10/2020, 14:55 (GMT+7)",https://vnexpress.net/trung-doc-dac-hon-200-trieu-usd-4170052.html
Bố lên cơn đau tim khi kèm con học,"Thứ năm, 1/10/2020, 14:47 (GMT+7)",https://vnexpress.net/bo-len-con-dau-tim-khi-kem-con-hoc-4170053.html
