Titles,Dates,Sources
Chuyên gia: Việt Nam đang chịu tác động thời tiết tồi tệ nhất thế giới,"Thứ hai, 19/10/2020, 08:32 (GMT+7)",https://vnexpress.net/chuyen-gia-viet-nam-dang-chiu-tac-dong-thoi-tiet-toi-te-nhat-the-gioi-4178484.html
Trump rút xấp tiền làm công đức tại nhà thờ,"Thứ hai, 19/10/2020, 09:16 (GMT+7)",https://vnexpress.net/trump-rut-xap-tien-lam-cong-duc-tai-nha-tho-4178579.html
Pháp sắp trục xuất 231 người sau vụ thầy giáo bị chặt đầu,"Thứ hai, 19/10/2020, 09:16 (GMT+7)",https://vnexpress.net/phap-sap-truc-xuat-231-nguoi-sau-vu-thay-giao-bi-chat-dau-4178541.html
Người ủng hộ Trump đòi 'nhốt Biden lại',"Thứ hai, 19/10/2020, 08:49 (GMT+7)",https://vnexpress.net/nguoi-ung-ho-trump-doi-nhot-biden-lai-4178542.html
Trump chỉ trích Thượng nghị sĩ Cộng hòa 'ngu ngốc',"Thứ hai, 19/10/2020, 07:44 (GMT+7)",https://vnexpress.net/trump-chi-trich-thuong-nghi-si-cong-hoa-ngu-ngoc-4178526.html
Cố vấn y tế Nhà Trắng không tin khẩu trang ngăn được Covid-19,"Thứ hai, 19/10/2020, 07:33 (GMT+7)",https://vnexpress.net/co-van-y-te-nha-trang-khong-tin-khau-trang-ngan-duoc-covid-19-4178528.html
Tuần hành tại Pháp tưởng nhớ thầy giáo bị chặt đầu,"Thứ hai, 19/10/2020, 06:46 (GMT+7)",https://vnexpress.net/tuan-hanh-tai-phap-tuong-nho-thay-giao-bi-chat-dau-4178521.html
Hơn 40 triệu người đã nhiễm nCoV toàn cầu,"Thứ hai, 19/10/2020, 06:43 (GMT+7)",https://vnexpress.net/hon-40-trieu-nguoi-da-nhiem-ncov-toan-cau-4178487.html
Mỹ cảnh báo không bán vũ khí cho Iran,"Chủ nhật, 18/10/2020, 23:24 (GMT+7)",https://vnexpress.net/my-canh-bao-khong-ban-vu-khi-cho-iran-4178482.html
Anh ân xá người hùng khống chế kẻ đâm dao,"Chủ nhật, 18/10/2020, 22:08 (GMT+7)",https://vnexpress.net/anh-an-xa-nguoi-hung-khong-che-ke-dam-dao-4178474.html
New York chặn đám cưới 10.000 khách giữa Covid-19,"Chủ nhật, 18/10/2020, 21:26 (GMT+7)",https://vnexpress.net/new-york-chan-dam-cuoi-10-000-khach-giua-covid-19-4178454.html
Người Tây Ban Nha biểu tình đòi truy tố cựu quốc vương,"Chủ nhật, 18/10/2020, 19:32 (GMT+7)",https://vnexpress.net/nguoi-tay-ban-nha-bieu-tinh-doi-truy-to-cuu-quoc-vuong-4178441.html
Chủ tịch Hạ viện Mỹ hơn một năm chưa nói chuyện với Trump,"Chủ nhật, 18/10/2020, 18:41 (GMT+7)",https://vnexpress.net/chu-tich-ha-vien-my-hon-mot-nam-chua-noi-chuyen-voi-trump-4178418.html
Thủ tướng Nhật Suga đến Hà Nội,"Chủ nhật, 18/10/2020, 18:30 (GMT+7)",https://vnexpress.net/thu-tuong-nhat-suga-den-ha-noi-4178012.html
Trung Quốc ra luật phòng chống bệnh truyền nhiễm,"Chủ nhật, 18/10/2020, 17:24 (GMT+7)",https://vnexpress.net/trung-quoc-ra-luat-phong-chong-benh-truyen-nhiem-4178413.html
Bài giảng khiến giáo viên Pháp bị chặt đầu,"Chủ nhật, 18/10/2020, 16:33 (GMT+7)",https://vnexpress.net/bai-giang-khien-giao-vien-phap-bi-chat-dau-4178361.html
Trung Quốc thông qua luật hạn chế xuất khẩu,"Chủ nhật, 18/10/2020, 15:26 (GMT+7)",https://vnexpress.net/trung-quoc-thong-qua-luat-han-che-xuat-khau-4178389.html
Tài sản hoàng gia Thái Lan được quản lý thế nào?,"Chủ nhật, 18/10/2020, 13:30 (GMT+7)",https://vnexpress.net/tai-san-hoang-gia-thai-lan-duoc-quan-ly-the-nao-4177400.html
Trung Quốc dọa bắt công dân Mỹ để trả đũa,"Chủ nhật, 18/10/2020, 12:54 (GMT+7)",https://vnexpress.net/trung-quoc-doa-bat-cong-dan-my-de-tra-dua-4178360.html
Nữ tiến sĩ 'săn' tin đồn nhảm về vaccine,"Chủ nhật, 18/10/2020, 12:00 (GMT+7)",https://vnexpress.net/nu-tien-si-san-tin-don-nham-ve-vaccine-4176785.html
Công bố chủ đề tranh luận Trump - Biden cuối cùng,"Chủ nhật, 18/10/2020, 11:50 (GMT+7)",https://vnexpress.net/cong-bo-chu-de-tranh-luan-trump-biden-cuoi-cung-4178339.html
Biểu tình phản đối phê duyệt thẩm phán tối cao Mỹ,"Chủ nhật, 18/10/2020, 10:23 (GMT+7)",https://vnexpress.net/bieu-tinh-phan-doi-phe-duyet-tham-phan-toi-cao-my-4178300.html
Trump gọi nhầm Tổng thống Macron là 'thủ tướng',"Chủ nhật, 18/10/2020, 08:57 (GMT+7)",https://vnexpress.net/trump-goi-nham-tong-thong-macron-la-thu-tuong-4178287.html
Cựu thủ tướng Anh bị cáo buộc vi phạm quy định cách ly,"Chủ nhật, 18/10/2020, 08:08 (GMT+7)",https://vnexpress.net/cuu-thu-tuong-anh-bi-cao-buoc-vi-pham-quy-dinh-cach-ly-4178276.html
Armenia - Azerbaijan đồng ý ngừng bắn,"Chủ nhật, 18/10/2020, 07:03 (GMT+7)",https://vnexpress.net/armenia-azerbaijan-dong-y-ngung-ban-4178261.html
"Hơn 39,9 triệu người đã nhiễm nCoV toàn cầu","Chủ nhật, 18/10/2020, 06:37 (GMT+7)",https://vnexpress.net/hon-39-9-trieu-nguoi-da-nhiem-ncov-toan-cau-4178257.html
Những 'búp bê bánh rán' của lính Mỹ trong Thế chiến II,"Chủ nhật, 18/10/2020, 01:00 (GMT+7)",https://vnexpress.net/nhung-bup-be-banh-ran-cua-linh-my-trong-the-chien-ii-4175399.html
Những cử tri tôn sùng 'đấng nam nhi' Trump,"Chủ nhật, 18/10/2020, 00:00 (GMT+7)",https://vnexpress.net/nhung-cu-tri-ton-sung-dang-nam-nhi-trump-4177763.html
Nghi phạm thừa nhận chặt đầu giáo viên Pháp trên Twitter,"Thứ bảy, 17/10/2020, 23:21 (GMT+7)",https://vnexpress.net/nghi-pham-thua-nhan-chat-dau-giao-vien-phap-tren-twitter-4178221.html
Phát hiện ca nhiễm nCoV trong nơi ở của Giáo hoàng Francis,"Thứ bảy, 17/10/2020, 21:50 (GMT+7)",https://vnexpress.net/phat-hien-ca-nhiem-ncov-trong-noi-o-cua-giao-hoang-francis-4178190.html
Trump đòi 'nhốt Biden lại',"Thứ bảy, 17/10/2020, 21:39 (GMT+7)",https://vnexpress.net/trump-doi-nhot-biden-lai-4178193.html
Nga dọa đáp trả EU do lệnh trừng phạt về vụ Navalny,"Thứ bảy, 17/10/2020, 20:41 (GMT+7)",https://vnexpress.net/nga-doa-dap-tra-eu-do-lenh-trung-phat-ve-vu-navalny-4178167.html
Cử tri gốc Việt kể chuyện bỏ phiếu bầu tổng thống Mỹ,"Thứ bảy, 17/10/2020, 20:00 (GMT+7)",https://vnexpress.net/cu-tri-goc-viet-ke-chuyen-bo-phieu-bau-tong-thong-my-4176352.html
Thủ tướng New Zealand tái đắc cử,"Thứ bảy, 17/10/2020, 19:02 (GMT+7)",https://vnexpress.net/thu-tuong-new-zealand-tai-dac-cu-4178163.html
Người Thái quay lại biểu tình,"Thứ bảy, 17/10/2020, 18:32 (GMT+7)",https://vnexpress.net/nguoi-thai-quay-lai-bieu-tinh-4178143.html
Thủ tướng Đức kêu gọi người dân hạn chế tiếp xúc và đi lại,"Thứ bảy, 17/10/2020, 17:25 (GMT+7)",https://vnexpress.net/thu-tuong-duc-keu-goi-nguoi-dan-han-che-tiep-xuc-va-di-lai-4178124.html
Hơn 22 triệu người Mỹ đã bỏ phiếu bầu tổng thống,"Thứ bảy, 17/10/2020, 16:47 (GMT+7)",https://vnexpress.net/hon-22-trieu-nguoi-my-da-bo-phieu-bau-tong-thong-4178115.html
Xác định nghi phạm chặt đầu thầy giáo Pháp,"Thứ bảy, 17/10/2020, 15:26 (GMT+7)",https://vnexpress.net/xac-dinh-nghi-pham-chat-dau-thay-giao-phap-4178092.html
Dân Mỹ sốt sắng bầu tổng thống,"Thứ bảy, 17/10/2020, 15:11 (GMT+7)",https://vnexpress.net/dan-my-sot-sang-bau-tong-thong-4177946.html
