Titles,Dates,Sources
Thủ tướng Nhật Bản và phu nhân đến Việt Nam vào 18/10,"Thứ sáu, 16/10/2020, 17:03 (GMT+7)",https://vnexpress.net/thu-tuong-nhat-ban-va-phu-nhan-den-viet-nam-vao-18-10-4177725.html
Thủy thủ tàu sân bay Mỹ tự sát khi đứng gác,"Thứ sáu, 16/10/2020, 15:36 (GMT+7)",https://vnexpress.net/thuy-thu-tau-san-bay-my-tu-sat-khi-dung-gac-4177687.html
Hai người biểu tình Thái Lan bị bắt vì vây xe Hoàng hậu,"Thứ sáu, 16/10/2020, 15:27 (GMT+7)",https://vnexpress.net/hai-nguoi-bieu-tinh-thai-lan-bi-bat-vi-vay-xe-hoang-hau-4177644.html
Quan hệ của con trai Biden ở Trung Quốc gây nghi ngờ,"Thứ sáu, 16/10/2020, 15:20 (GMT+7)",https://vnexpress.net/quan-he-cua-con-trai-biden-o-trung-quoc-gay-nghi-ngo-4177375.html
Thủ tướng Thái Lan tuyên bố không từ chức,"Thứ sáu, 16/10/2020, 15:14 (GMT+7)",https://vnexpress.net/thu-tuong-thai-lan-tuyen-bo-khong-tu-chuc-4177642.html
FBI điều tra email nghi của con trai Biden,"Thứ sáu, 16/10/2020, 15:08 (GMT+7)",https://vnexpress.net/fbi-dieu-tra-email-nghi-cua-con-trai-biden-4177635.html
Trung Quốc tung vaccine Covid-19 thử nghiệm giá 60 USD,"Thứ sáu, 16/10/2020, 14:48 (GMT+7)",https://vnexpress.net/trung-quoc-tung-vaccine-covid-19-thu-nghiem-gia-60-usd-4177637.html
Tàu hải cảnh Trung Quốc áp sát đảo tranh chấp với Nhật lâu kỷ lục,"Thứ sáu, 16/10/2020, 14:37 (GMT+7)",https://vnexpress.net/tau-hai-canh-trung-quoc-ap-sat-dao-tranh-chap-voi-nhat-lau-ky-luc-4177629.html
4 vũ khí giúp Đức ứng phó Covid-19,"Thứ sáu, 16/10/2020, 14:00 (GMT+7)",https://vnexpress.net/4-vu-khi-giup-duc-ung-pho-covid-19-4176801.html
Hoàng tử Thái Lan nhấc bổng chị gái trong lễ tưởng niệm cố vương,"Thứ sáu, 16/10/2020, 12:29 (GMT+7)",https://vnexpress.net/hoang-tu-thai-lan-nhac-bong-chi-gai-trong-le-tuong-niem-co-vuong-4177559.html
Nhật sẽ xả triệu tấn nước xử lý từ Fukushima ra biển,"Thứ sáu, 16/10/2020, 12:11 (GMT+7)",https://vnexpress.net/nhat-se-xa-trieu-tan-nuoc-xu-ly-tu-fukushima-ra-bien-4177589.html
Chính quyền Trump từ chối yêu cầu hỗ trợ cháy rừng ở California,"Thứ sáu, 16/10/2020, 12:05 (GMT+7)",https://vnexpress.net/chinh-quyen-trump-tu-choi-yeu-cau-ho-tro-chay-rung-o-california-4177565.html
Ba năm bí mật điều tra dòng tiền tranh cử của Trump,"Thứ sáu, 16/10/2020, 12:00 (GMT+7)",https://vnexpress.net/ba-nam-bi-mat-dieu-tra-dong-tien-tranh-cu-cua-trump-4177124.html
Trump chế nhạo Fauci theo phe 'Dân chủ',"Thứ sáu, 16/10/2020, 11:59 (GMT+7)",https://vnexpress.net/trump-che-nhao-fauci-theo-phe-dan-chu-4177577.html
"Facebook, Twitter tự 'giẫm chân' khi chặn bài báo chỉ trích Biden","Thứ sáu, 16/10/2020, 11:27 (GMT+7)",https://vnexpress.net/facebook-twitter-tu-giam-chan-khi-chan-bai-bao-chi-trich-biden-4177439.html
Thủy thủ tàu ngầm Anh nhiễm nCoV vì tiệc tùng tại Mỹ,"Thứ sáu, 16/10/2020, 11:03 (GMT+7)",https://vnexpress.net/thuy-thu-tau-ngam-anh-nhiem-ncov-vi-tiec-tung-tai-my-4177509.html
Nghị sĩ giấu tiền biển thủ trong đồ lót,"Thứ sáu, 16/10/2020, 10:52 (GMT+7)",https://vnexpress.net/nghi-si-giau-tien-bien-thu-trong-do-lot-4177485.html
Ông Tập ho nhiều lần khi phát biểu,"Thứ sáu, 16/10/2020, 10:50 (GMT+7)",https://vnexpress.net/ong-tap-ho-nhieu-lan-khi-phat-bieu-4177447.html
Trump nói sẽ chấp nhận chuyển giao quyền lực hòa bình,"Thứ sáu, 16/10/2020, 10:38 (GMT+7)",https://vnexpress.net/trump-noi-se-chap-nhan-chuyen-giao-quyen-luc-hoa-binh-4177464.html
Mỹ bắt cựu bộ trưởng quốc phòng Mexico,"Thứ sáu, 16/10/2020, 10:22 (GMT+7)",https://vnexpress.net/my-bat-cuu-bo-truong-quoc-phong-mexico-4177474.html
Trump - Biden 'đấu khẩu' qua truyền hình trực tiếp,"Thứ sáu, 16/10/2020, 10:15 (GMT+7)",https://vnexpress.net/trump-biden-dau-khau-qua-truyen-hinh-truc-tiep-4177406.html
Người da màu giàu nhất nước Mỹ thừa nhận trốn thuế,"Thứ sáu, 16/10/2020, 09:25 (GMT+7)",https://vnexpress.net/nguoi-da-mau-giau-nhat-nuoc-my-thua-nhan-tron-thue-4177421.html
Trump 'không nhớ' đã xét nghiệm trước tranh luận với Biden,"Thứ sáu, 16/10/2020, 08:55 (GMT+7)",https://vnexpress.net/trump-khong-nho-da-xet-nghiem-truoc-tranh-luan-voi-biden-4177392.html
Trung Quốc có thể đang mở rộng nhà máy đóng tàu ngầm,"Thứ sáu, 16/10/2020, 08:45 (GMT+7)",https://vnexpress.net/trung-quoc-co-the-dang-mo-rong-nha-may-dong-tau-ngam-4177420.html
Nữ hoàng Anh bị chỉ trích vì không đeo khẩu trang,"Thứ sáu, 16/10/2020, 08:26 (GMT+7)",https://vnexpress.net/nu-hoang-anh-bi-chi-trich-vi-khong-deo-khau-trang-4177391.html
