Titles,Dates,Sources
Luật sư của Trump tố 'người chết bỏ phiếu' cho Biden,"Thứ hai, 9/11/2020, 10:00 (GMT+7)",https://vnexpress.net/luat-su-cua-trump-to-nguoi-chet-bo-phieu-cho-biden-4188879.html
Trump sẽ lên truyền hình lần đầu sau khi thất cử,"Thứ hai, 9/11/2020, 08:57 (GMT+7)",https://vnexpress.net/trump-se-len-truyen-hinh-lan-dau-sau-khi-that-cu-4188855.html
Báo Trung Quốc kỳ vọng quan hệ với Mỹ 'dễ đoán' hơn dưới thời Biden,"Thứ hai, 9/11/2020, 08:34 (GMT+7)",https://vnexpress.net/bao-trung-quoc-ky-vong-quan-he-voi-my-de-doan-hon-duoi-thoi-biden-4188832.html
Bush khen Trump 'phi thường' khi giành hơn 70 triệu phiếu,"Thứ hai, 9/11/2020, 07:42 (GMT+7)",https://vnexpress.net/bush-khen-trump-phi-thuong-khi-gianh-hon-70-trieu-phieu-4188816.html
Quan hệ của Mỹ với thế giới thời Joe Biden,"Thứ hai, 9/11/2020, 07:30 (GMT+7)",https://vnexpress.net/quan-he-cua-my-voi-the-gioi-thoi-joe-biden-4188729.html
Biden đi thăm mộ người thân,"Thứ hai, 9/11/2020, 07:19 (GMT+7)",https://vnexpress.net/biden-di-tham-mo-nguoi-than-4188815.html
Melania có thể đã thuyết phục Trump nhận thua,"Thứ hai, 9/11/2020, 06:46 (GMT+7)",https://vnexpress.net/melania-co-the-da-thuyet-phuc-trump-nhan-thua-4188808.html
Châu Âu đau đầu vì sóng Covid-19 thứ hai,"Thứ hai, 9/11/2020, 06:46 (GMT+7)",https://vnexpress.net/chau-au-dau-dau-vi-song-covid-19-thu-hai-4188806.html
Kamala Harris - niềm hy vọng tái định hình vai trò phó tổng thống Mỹ,"Thứ hai, 9/11/2020, 06:00 (GMT+7)",https://vnexpress.net/kamala-harris-niem-hy-vong-tai-dinh-hinh-vai-tro-pho-tong-thong-my-4188763.html
7 điểm nhấn từ chiến thắng của Biden,"Thứ hai, 9/11/2020, 05:00 (GMT+7)",https://vnexpress.net/7-diem-nhan-tu-chien-thang-cua-biden-4188721.html
Liệu Trump còn cơ hội lật ngược tình thế mong manh?,"Thứ hai, 9/11/2020, 02:00 (GMT+7)",https://vnexpress.net/lieu-trump-con-co-hoi-lat-nguoc-tinh-the-mong-manh-4188746.html
Đảng Cộng hòa được hối thúc can thiệp để Trump nhận thua,"Thứ hai, 9/11/2020, 00:26 (GMT+7)",https://vnexpress.net/dang-cong-hoa-duoc-hoi-thuc-can-thiep-de-trump-nhan-thua-4188783.html
Một tuần tan vỡ giấc mơ của người ủng hộ Trump,"Thứ hai, 9/11/2020, 00:00 (GMT+7)",https://vnexpress.net/mot-tuan-tan-vo-giac-mo-cua-nguoi-ung-ho-trump-4188577.html
